Player,Rk,G,Date,Age,Tm,Column1,OPP,2,GS,MP,FG,FGAVG,FGA,FGAAVG,FG%,FG%AVG,3P,3PAVG,3PA,3PAAVG,3P%,3P%AVG,FT,FTAVG,FTA,FTAAVG,FT%,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bucket
Doncic,1.00,1.00,45224.00,24-239,DAL,@,SAS,W (+7),1.00,1.43,13.00,,25.00,,0.52,,3.00,,11.00,,0.27,,4.00,,7.00,,0.57,,1.00,12.00,13.00,10.00,2.00,0.00,4.00,1.00,33.00,28.40,4.00,7.00
Doncic,2.00,2.00,45226.00,24-241,DAL,,BRK,W (+5),1.00,1.50,16.00,,25.00,,0.64,,9.00,,14.00,,0.64,,8.00,,10.00,,0.80,,1.00,9.00,10.00,7.00,0.00,0.00,0.00,1.00,49.00,45.00,9.00,10.00
Doncic,3.00,3.00,45229.00,24-244,DAL,@,MEM,W (+15),1.00,1.67,11.00,14.50,22.00,25.00,0.50,0.58,6.00,6.00,12.00,12.50,0.50,0.46,7.00,6.00,10.00,8.50,0.70,0.69,0.00,12.00,12.00,12.00,1.00,1.00,6.00,4.00,35.00,28.90,6.00,7.00
Doncic,4.00,4.00,45231.00,24-246,DAL,,CHI,W (+9),1.00,1.67,5.00,13.50,16.00,23.50,0.31,0.57,1.00,7.50,8.00,13.00,0.13,0.57,7.00,7.50,9.00,10.00,0.78,0.75,0.00,7.00,7.00,10.00,2.00,1.00,6.00,2.00,18.00,13.00,11.00,4.00
Doncic,5.00,5.00,45233.00,24-248,DAL,@,DEN,L (-11),1.00,1.59,11.00,8.00,24.00,19.00,0.46,0.41,6.00,3.50,11.00,10.00,0.55,0.31,6.00,7.00,7.00,9.50,0.86,0.74,3.00,7.00,10.00,8.00,0.00,1.00,9.00,2.00,34.00,21.90,-4.00,7.00
Doncic,6.00,6.00,45235.00,24-250,DAL,,CHO,W (+6),1.00,1.52,8.00,8.00,19.00,20.00,0.42,0.39,1.00,3.50,9.00,9.50,0.11,0.34,6.00,6.50,7.00,8.00,0.86,0.82,1.00,11.00,12.00,9.00,0.00,1.00,4.00,3.00,23.00,18.30,3.00,5.00
Doncic,7.00,7.00,45236.00,24-251,DAL,@,ORL,W (+15),1.00,1.46,9.00,9.50,17.00,21.50,0.53,0.44,5.00,3.50,10.00,10.00,0.50,0.33,6.00,6.00,6.00,7.00,1.00,0.86,0.00,3.00,3.00,6.00,2.00,0.00,6.00,2.00,29.00,21.00,7.00,6.00
Doncic,8.00,8.00,45238.00,24-253,DAL,,TOR,L (-11),1.00,1.60,11.00,8.50,26.00,18.00,0.42,0.48,2.00,3.00,10.00,9.50,0.20,0.31,7.00,6.00,10.00,6.50,0.70,0.93,0.00,7.00,7.00,8.00,4.00,1.00,4.00,3.00,31.00,23.20,-7.00,7.00
Doncic,9.00,9.00,45240.00,24-255,DAL,,LAC,W (+18),1.00,1.32,17.00,10.00,21.00,21.50,0.81,0.48,6.00,3.50,9.00,10.00,0.67,0.35,4.00,6.50,4.00,8.00,1.00,0.85,0.00,6.00,6.00,6.00,1.00,0.00,1.00,1.00,44.00,41.70,32.00,9.00
Doncic,10.00,10.00,45242.00,24-257,DAL,@,NOP,W (+12),1.00,1.17,11.00,14.00,18.00,23.50,0.61,0.62,4.00,4.00,9.00,9.50,0.44,0.43,4.00,5.50,5.00,7.00,0.80,0.85,0.00,4.00,4.00,9.00,1.00,0.00,2.00,0.00,30.00,27.90,14.00,6.00
Doncic,11.00,11.00,45244.00,24-259,DAL,@,NOP,L (-21),1.00,1.09,5.00,14.00,16.00,19.50,0.31,0.71,3.00,5.00,5.00,9.00,0.60,0.56,3.00,4.00,5.00,4.50,0.60,0.90,1.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,16.00,0.40,-26.00,4.00
Doncic,12.00,12.00,45245.00,24-260,DAL,@,WAS,W (+13),1.00,1.35,7.00,8.00,18.00,17.00,0.39,0.46,4.00,3.50,11.00,7.00,0.36,0.52,8.00,3.50,12.00,5.00,0.67,0.70,1.00,6.00,7.00,10.00,0.00,0.00,3.00,2.00,26.00,20.30,12.00,6.00
Doncic,13.00,13.00,45248.00,24-263,DAL,@,MIL,L (-7),1.00,1.47,15.00,6.00,26.00,17.00,0.58,0.35,4.00,3.50,9.00,8.00,0.44,0.48,1.00,5.50,4.00,8.50,0.25,0.63,1.00,8.00,9.00,9.00,0.00,0.00,3.00,1.00,35.00,27.60,-17.00,7.00
Doncic,14.00,14.00,45249.00,24-264,DAL,,SAC,L (-16),1.00,1.32,7.00,11.00,19.00,22.00,0.37,0.48,3.00,4.00,7.00,10.00,0.43,0.40,8.00,4.50,10.00,8.00,0.80,0.46,1.00,9.00,10.00,7.00,3.00,0.00,2.00,0.00,25.00,23.00,-14.00,5.00
Doncic,15.00,15.00,45252.00,24-267,DAL,@,LAL,W (+3),1.00,1.61,10.00,11.00,26.00,22.50,0.39,0.47,3.00,3.50,12.00,8.00,0.25,0.44,7.00,4.50,8.00,7.00,0.88,0.53,0.00,12.00,12.00,8.00,2.00,0.00,0.00,2.00,30.00,25.80,-11.00,6.00
Doncic,16.00,16.00,45255.00,24-270,DAL,@,LAC,L (-19),1.00,1.59,12.00,8.50,27.00,22.50,0.44,0.38,1.00,3.00,8.00,9.50,0.13,0.34,5.00,7.50,5.00,9.00,1.00,0.84,0.00,3.00,3.00,4.00,2.00,2.00,4.00,4.00,30.00,17.40,-14.00,6.00
Doncic,17.00,17.00,45258.00,24-273,DAL,,HOU,W (+6),1.00,1.58,15.00,11.00,29.00,26.50,0.52,0.41,3.00,2.00,10.00,10.00,0.30,0.19,8.00,6.00,9.00,6.50,0.89,0.94,0.00,9.00,9.00,9.00,2.00,0.00,0.00,3.00,41.00,36.10,12.00,9.00
Doncic,19.00,18.00,45262.00,24-277,DAL,,OKC,L (-6),1.00,1.92,11.00,13.50,22.00,28.00,0.50,0.48,5.00,2.00,13.00,9.00,0.39,0.21,9.00,6.50,14.00,7.00,0.64,0.94,2.00,13.00,15.00,18.00,2.00,2.00,7.00,2.00,36.00,36.50,-7.00,8.00
Doncic,20.00,19.00,45266.00,24-281,DAL,,UTA,W (+50),1.00,1.33,14.00,13.00,25.00,25.50,0.56,0.51,6.00,4.00,12.00,11.50,0.50,0.34,6.00,8.50,8.00,11.50,0.75,0.77,2.00,8.00,10.00,11.00,1.00,0.00,4.00,2.00,40.00,35.00,34.00,8.00
Doncic,21.00,20.00,45268.00,24-283,DAL,@,POR,W (+13),1.00,1.71,11.00,12.50,28.00,23.50,0.39,0.53,3.00,5.50,14.00,12.50,0.21,0.44,7.00,7.50,8.00,11.00,0.88,0.70,0.00,6.00,6.00,10.00,1.00,1.00,5.00,1.00,32.00,21.50,13.00,7.00
Doncic,22.00,21.00,45271.00,24-286,DAL,@,MEM,W (+7),1.00,1.83,9.00,12.50,21.00,26.50,0.43,0.48,5.00,4.50,10.00,13.00,0.50,0.36,12.00,6.50,13.00,8.00,0.92,0.81,0.00,8.00,8.00,6.00,2.00,2.00,3.00,3.00,35.00,29.30,3.00,7.00
Doncic,23.00,22.00,45272.00,24-287,DAL,,LAL,W (+2),1.00,1.81,12.00,10.00,28.00,24.50,0.43,0.41,3.00,4.00,10.00,12.00,0.30,0.36,6.00,9.50,6.00,10.50,1.00,0.90,0.00,6.00,6.00,17.00,1.00,0.00,4.00,0.00,33.00,28.90,10.00,7.00
Doncic,24.00,23.00,45274.00,24-289,DAL,,MIN,L (-18),1.00,1.64,15.00,10.50,27.00,24.50,0.56,0.43,2.00,4.00,7.00,10.00,0.29,0.40,7.00,9.00,7.00,9.50,1.00,0.96,1.00,5.00,6.00,13.00,2.00,0.00,8.00,2.00,39.00,30.60,-12.00,8.00
Doncic,25.00,24.00,45276.00,24-291,DAL,@,POR,W (+11),1.00,1.56,15.00,13.50,28.00,27.50,0.54,0.49,4.00,2.50,12.00,8.50,0.33,0.29,6.00,6.50,6.00,6.50,1.00,1.00,2.00,10.00,12.00,10.00,1.00,0.00,4.00,3.00,40.00,33.60,-4.00,8.00
Doncic,26.00,25.00,45278.00,24-293,DAL,@,DEN,L (-26),1.00,1.52,13.00,15.00,24.00,27.50,0.54,0.55,6.00,3.00,12.00,9.50,0.50,0.31,6.00,6.50,10.00,6.50,0.60,1.00,3.00,8.00,11.00,8.00,0.00,0.00,3.00,1.00,38.00,31.50,-29.00,8.00
Doncic,27.00,26.00,45280.00,24-295,DAL,,LAC,L (-9),1.00,1.85,9.00,14.00,25.00,26.00,0.36,0.54,2.00,5.00,11.00,12.00,0.18,0.42,8.00,6.00,14.00,8.00,0.57,0.80,1.00,8.00,9.00,10.00,1.00,0.00,5.00,1.00,28.00,17.40,-4.00,6.00
Doncic,29.00,27.00,45283.00,24-298,DAL,,SAS,W (+25),1.00,1.32,13.00,11.00,27.00,24.50,0.48,0.45,5.00,4.00,10.00,11.50,0.50,0.34,8.00,7.00,11.00,12.00,0.73,0.59,2.00,10.00,12.00,10.00,1.00,1.00,2.00,1.00,39.00,34.80,37.00,8.00
Doncic,30.00,28.00,45285.00,24-300,DAL,@,PHO,W (+14),1.00,1.81,15.00,11.00,25.00,26.00,0.60,0.42,8.00,3.50,16.00,10.50,0.50,0.34,12.00,8.00,12.00,12.50,1.00,0.65,1.00,5.00,6.00,15.00,4.00,3.00,4.00,2.00,50.00,52.50,16.00,10.00
Doncic,31.00,29.00,45287.00,24-302,DAL,,CLE,L (-3),1.00,1.53,14.00,14.00,29.00,26.00,0.48,0.54,3.00,6.50,10.00,13.00,0.30,0.50,8.00,10.00,10.00,11.50,0.80,0.86,0.00,7.00,7.00,6.00,2.00,2.00,5.00,0.00,39.00,28.20,-9.00,8.00
Doncic,33.00,30.00,45290.00,24-305,DAL,@,GSW,W (+10),1.00,1.56,14.00,14.50,29.00,27.00,0.48,0.54,5.00,5.50,13.00,13.00,0.39,0.40,6.00,10.00,7.00,11.00,0.86,0.90,0.00,8.00,8.00,10.00,1.00,1.00,4.00,3.00,39.00,29.80,9.00,8.00
Doncic,34.00,31.00,45292.00,24-307,DAL,@,UTA,L (-37),1.00,1.41,6.00,14.00,20.00,29.00,0.30,0.48,3.00,4.00,13.00,11.50,0.23,0.34,4.00,7.00,6.00,8.50,0.67,0.83,0.00,6.00,6.00,14.00,1.00,0.00,4.00,1.00,19.00,14.80,-17.00,4.00
Doncic,35.00,32.00,45294.00,24-309,DAL,,POR,W (+29),1.00,1.27,13.00,10.00,21.00,24.50,0.62,0.39,4.00,4.00,7.00,13.00,0.57,0.31,11.00,5.00,14.00,6.50,0.79,0.76,0.00,6.00,6.00,5.00,1.00,0.00,4.00,1.00,41.00,32.20,23.00,9.00
Doncic,37.00,33.00,45298.00,24-313,DAL,,MIN,W (+7),1.00,1.64,12.00,9.50,26.00,20.50,0.46,0.46,5.00,3.50,12.00,10.00,0.42,0.40,5.00,7.50,8.00,10.00,0.63,0.73,0.00,6.00,6.00,8.00,1.00,0.00,3.00,3.00,34.00,23.60,5.00,7.00
Doncic,38.00,34.00,45300.00,24-315,DAL,,MEM,L (-17),1.00,1.50,9.00,12.50,21.00,23.50,0.43,0.54,2.00,4.50,8.00,9.50,0.25,0.49,11.00,8.00,15.00,11.00,0.73,0.71,0.00,6.00,6.00,6.00,3.00,0.00,3.00,1.00,31.00,23.90,-14.00,7.00
Doncic,42.00,35.00,45308.00,24-323,DAL,@,LAL,L (-17),1.00,1.51,12.00,10.50,24.00,23.50,0.50,0.45,2.00,3.50,9.00,10.00,0.22,0.33,7.00,8.00,9.00,11.50,0.78,0.68,0.00,13.00,13.00,10.00,2.00,2.00,4.00,2.00,33.00,29.70,-15.00,7.00
Doncic,43.00,36.00,45313.00,24-328,DAL,,BOS,L (-9),1.00,1.65,12.00,10.50,30.00,22.50,0.40,0.46,2.00,2.00,8.00,8.50,0.25,0.24,7.00,9.00,11.00,12.00,0.64,0.76,5.00,13.00,18.00,13.00,2.00,0.00,3.00,5.00,33.00,28.70,-13.00,7.00
Doncic,44.00,37.00,45315.00,24-330,DAL,,PHO,L (-23),1.00,1.61,11.00,12.00,24.00,27.00,0.46,0.45,4.00,2.00,11.00,8.50,0.36,0.24,8.00,7.00,12.00,10.00,0.67,0.71,1.00,7.00,8.00,9.00,1.00,2.00,5.00,1.00,34.00,26.10,-22.00,7.00
Doncic,45.00,38.00,45317.00,24-332,DAL,@,ATL,W (+5),1.00,1.86,25.00,11.50,33.00,27.00,0.76,0.43,8.00,3.00,13.00,9.50,0.62,0.31,15.00,7.50,16.00,11.50,0.94,0.65,0.00,10.00,10.00,7.00,1.00,0.00,4.00,1.00,73.00,64.00,13.00,15.00
Doncic,46.00,39.00,45318.00,24-333,DAL,,SAC,L (-5),1.00,1.92,9.00,18.00,26.00,28.50,0.35,0.61,1.00,6.00,9.00,12.00,0.11,0.49,9.00,11.50,12.00,14.00,0.75,0.80,2.00,8.00,10.00,17.00,2.00,1.00,3.00,3.00,28.00,26.40,2.00,6.00
